,Country,Confirmed,Deaths,Recovered,Active
612,Spain,723206,15378,40736.0,667092.0
613,Spain,9201,97,125.0,8979.0
614,Spain,113680,1604,2180.0,109896.0
615,Spain,63087,1178,3905.0,58004.0
616,Spain,201518,4493,16160.0,180865.0
617,Spain,0,0,0.0,0.0
618,Sri Lanka,223638,2136,188547.0,32955.0
619,Sudan,36203,2732,29994.0,3477.0
620,Suriname,18372,404,13927.0,4041.0
621,Sweden,12723,129,0.0,12594.0
622,Sweden,26901,343,0.0,26558.0
623,Sweden,35802,560,0.0,35242.0
624,Sweden,3985,51,0.0,3934.0
625,Sweden,40715,319,0.0,40396.0
626,Sweden,12493,121,0.0,12372.0
627,Sweden,43205,554,0.0,42651.0
628,Sweden,24110,245,0.0,23865.0
629,Sweden,22123,318,0.0,21805.0
630,Sweden,25706,270,0.0,25436.0
631,Sweden,32018,342,0.0,31676.0
632,Sweden,42186,633,0.0,41553.0
633,Sweden,155456,1749,0.0,153707.0
634,Sweden,25752,467,0.0,25285.0
635,Sweden,253770,4353,0.0,249417.0
636,Sweden,40286,538,0.0,39748.0
637,Sweden,19347,212,0.0,19135.0
638,Sweden,23270,181,0.0,23089.0
639,Sweden,26783,474,0.0,26309.0
640,Sweden,27444,348,0.0,27096.0
641,Sweden,189381,2367,0.0,187014.0
642,Switzerland,700051,10859,317600.0,371592.0
643,Syria,24814,1810,21675.0,1329.0
644,Taiwan*,12921,437,1133.0,11351.0
645,Tajikistan,13308,90,13218.0,0.0
646,Tanzania,509,21,183.0,305.0
647,Thailand,195909,1449,26873.0,167587.0
648,Timor-Leste,8285,18,6731.0,1536.0
649,Togo,13627,126,13305.0,196.0
